feature,gain
ui_total_decay_inv_score,159981.77705860138
ui_cart_fav_decay_score,77882.68865966797
item_category,63898.186700344086
ui_total_decay_exp_score,36533.329330444336
uc_behav_4_2d,8155.14066028595
ui_weighted_28d,7801.980257987976
i_buy_user_ratio_28d,4726.63739490509
uc_behav_4_4d,4091.8434953689575
ui_hour_mean_1d,3987.178207397461
c_buy_user_ratio_2d,3528.530860900879
ui_behav_1_2d,3496.326687812805
uc_behav_4_7d,3121.5761098861694
u_buy_item_ratio_28d,2841.6051483154297
i_buy_user_ratio_14d,2653.6009092330933
ic_buy_ratio_28d,1969.4832820892334
ui_behav_3_28d,1936.890609741211
ui_norm_inv_rank_in_uc_1d,1776.6612920761108
u_click_decay_exp_score,1695.7550020217896
i_behav_4_28d,1688.3056011199951
uc_hour_mean_1d,1664.6456565856934
ui_weighted_21d,1663.5978708267212
i_buy_user_ratio_21d,1617.0627994537354
u_buy_item_ratio_7d,1607.8143305778503
u_hour_mean_7d,1526.7246041297913
ui_behav_4_7d,1498.8690185546875
u_buy_ratio_21d,1498.1256475448608
u_buy_ratio_4d,1438.9311780929565
ui_uc_weighted_ratio_4d,1388.498869895935
u_hour_mean_1d,1384.167353630066
u_hour_mean_28d,1307.3207879066467
u_buy_ratio_28d,1280.4987888336182
ic_buy_ratio_1d,1216.7997179031372
u_item_nuniq_4d,1190.8872184753418
u_buy_item_ratio_21d,1165.5618600845337
u_buy_ratio_7d,1165.494867324829
u_behav_1_1d,1109.3208637237549
uc_behav_4_14d,1093.602825164795
u_hour_mean_21d,1093.5744428634644
ui_weighted_14d,1093.0098009109497
uc_total_decay_inv_score,1054.5990085601807
u_buy_item_ratio_4d,1053.9039897918701
ui_weighted_1d,1026.681725025177
c_buy_user_ratio_4d,1024.4847803115845
u_buy_ratio_1d,1017.2691135406494
ic_buy_ratio_14d,1012.1891965866089
u_cat_nuniq_2d,957.968731880188
u_hour_mean_2d,945.4787821769714
ic_buy_ratio_21d,938.0566091537476
i_buy_users_28d,934.4483060836792
u_hour_mean_4d,933.7791042327881
u_cat_nuniq_4d,921.3017902374268
uc_hour_mean_2d,919.3725099563599
ui_behav_4_28d,888.0187225341797
i_behav_3_28d,884.266206741333
u_cat_nuniq_28d,878.3426942825317
u_cat_nuniq_1d,855.5662078857422
u_buy_ratio_2d,841.3092451095581
u_buy_item_ratio_1d,838.4729948043823
u_buy_item_ratio_2d,837.1363334655762
u_hour_mean_14d,835.8012933731079
ic_buy_ratio_2d,829.029501914978
uc_cart_fav_decay_score,827.2795915603638
ui_hour_mean_21d,823.7417984008789
u_weighted_4d,817.5130109786987
u_buy_ratio_14d,807.5571947097778
ui_norm_inv_rank_in_uc_2d,804.4757070541382
ui_uc_weighted_ratio_2d,803.0986013412476
ic_buy_ratio_4d,791.0384349822998
i_buy_user_ratio_4d,776.5018167495728
u_weighted_1d,774.6122150421143
ui_weighted_2d,774.3581972122192
c_buy_user_ratio_21d,771.1709156036377
u_cat_nuniq_7d,761.7082633972168
ui_weighted_7d,758.2295713424683
u_item_nuniq_1d,751.6393795013428
ui_behav_3_21d,750.7837672233582
ic_buy_norm_inv_rank_28d,737.7071943283081
u_buy_item_ratio_14d,726.2118110656738
u_buy_days_21d,724.8181524276733
i_buy_user_ratio_2d,722.2828254699707
ui_behav_3_4d,717.9920053482056
u_behav_4_28d,713.6953201293945
u_behav_3_14d,691.942608833313
u_buy_days_28d,681.7057237625122
ui_uc_weighted_ratio_7d,677.7644782066345
i_behav_1_1d,654.235746383667
i_buy_user_ratio_7d,648.7593984603882
u_behav_4_21d,645.6566953659058
u_item_nuniq_14d,643.086522102356
u_behav_3_7d,640.2456140518188
ui_hour_mean_2d,635.3426403999329
i_buy_users_21d,632.5450038909912
u_buy_days_14d,628.4116268157959
u_behav_3_28d,626.0271253585815
uc_weighted_7d,597.3469305038452
i_behav_4_21d,591.3302021026611
u_item_nuniq_28d,583.9327392578125
uc_hour_mean_28d,581.7693977355957
i_buy_user_ratio_1d,578.7471227645874
uc_item_nuniq_4d,576.390965461731
u_behav_1_4d,566.7341966629028
u_behav_4_14d,565.4951210021973
ui_uc_weighted_ratio_14d,564.6598882675171
